Rank,Country,2017,2016
1,Costa Rica,3056445,2930661
2,Philippines,2671711,2612474
3,Brazil,2253897,2695230
4,Thailand,2123177,1778439
5,India,1861000,1924000
6,Indonesia,1810986,1396153
7,Nigeria,1642376,1578090
8,China,1576405,1550947
9,Colombia,1091042,980082
10,Mexico,945210,875839
11,Angola,727224,662709
12,Ghana,677112,661500
13,Vietnam,617944,555407
14,Taiwan,553531,527161
15,Peru,494642,461286
16,Venezuela,486398,478167
17,Tanzania,434969,417338
18,Dominican Republic,384165,375506
19,Benin,360257,220524
20,Cameroon,351574,332664
21,Guatemala,344515,327453
22,Malaysia,340722,391714
23,Malawi,293500,203524
24,Bangladesh,211833,200701
25,Kenya,204850,224190
26,Democratic Republic of the Congo,189286,190515
27,Ecuador,165307,116044
28,United States,154457,153181
29,Honduras,140407,142064
30,Guinea,134989,132541
31,South Africa,103149,88763
